Review,sentiment,topic
"Как бы смешно это не звучало, но это был первый мой смартфон. Выбирал мне его муж (он больше меня разбирается в технике). Мне понравился дизайн, и цена, и то, что он двухсимочный. Ну а мужу соотношение цены и технических характеристик. Телефон и правда неплохо держит батарею (могла по пять часов смотреть видео без подзарядки). Делает не плохие фото и видео (впервые дни вдоволь наснимала своего малыша). Так же с него можно общаться в соцсетях. Если не качать на него игрушки, то памяти у него достаточно. Он не зависает, и у него хорошая чувствительность экрана. За время эксплуатации (3 месяца, он меня не подводил). Единственный минус, теперь я стала разбираться в смартфонах (ну если можно так выразиться) и мне хочется по мощнее телефончик.,",Позитивный,Эксплуатационные характеристики смартфона
"Дочери 10 лет. Купила не задумываясь за 3000. Теряет телефоны, я устала. У меня самой устройство типа такого же, но за 5000 с копейками Верту. Сейчас задумываюсь поменяться с дочерью. Что можно сказать? Все характеристики соответствуют заявленным. Работает как положено. Мой тормоз полный, причем с первых дней. Этот у нас уже 2 месяца. Часто беру и играю в простые игрушки, идут на ура. Все программы бесперебойно действуют. Сеть и спутники ловит, опять же по сравнению с моим, быстро. Камеры обе на ФЛАЕ лучше, чем на ВЕРТУ.Видео записывается четко. Я думаю, что в подарок детям это очень хороший вариант.,",Позитивный,Оценка качества устройства
"Сравнивал с парой моделей как 3 летней давности, так и с современными.  Если брать за 3000 руб. и это первый смартфон, то хороший вариант, несмотря на недостатки, но за 4000-5000 можно купить лучше.,",Нейтральный,Цена-качество смартфона
"До этого был Samsung G1 Mini лежал в сервисе 45 дней в итоге вернули деньги .купил Fly работает отлично. больше за брендами гоняться не буду,",Позитивный,Опыт покупки телефона
"Зато он такой же синенький, как моя первая моторолла ^^,",Позитивный,Внешний вид
"Шикарная бюджетная модель с хорошими техническими характеристиками, большой, в 5 дюймов, яркий экран. При любом освещении неплохие фотографии и видео. Телефон стильный, приятно лежит в руке. 4-ядерный процессор с лёгкостью справлялся с большинством загруженных приложений. Единственно, 40 часов зарядки при просмотре фильмов и музыки, как в характеристиках, не держит. При такой низкой стоимости это лишнее.,",Позитивный,Технические характеристики и качество телефона
"Брала полгода назад своему ребенку этот смартфон. Главное, что меня привлекло, так это его цена. К тому же ни как у всех, сейчас он не слишком популярен. Модель хорошая, стандартный набор функций. Не плохая камера. Центров гарантийного обслуживания не много по городу, но несколько есть, я узнавала. Для ребенка прекрасный вариант, легкий, красочный, не дорогой.,",Позитивный,Оценка смартфона
"Единственное преимущество у него так это экран большой.,",Нейтральный,Экран устройства
"Редкостное, тормознутое устройство. Не советую, хлебнёте горя.,",Отрицательная,Качество
"Хочется написать отзыв об отличном телефоне который пришёл на замену старому и отслужившему свой срок Флаю-раскладушке. Итак нужен был функциональный и недорогой телефон с хорошими характеристиками, возможностью делать хорошие фотографии, способностью снимать и воспроизводить видео, чтоб был хороший объём встроенной памяти и не самой старой операционной системой. 5"" дисплей был бы желанным и отличным дополнением ко всему вышеперечисленному. Всеми этими характеристиками обладали большинство продаваемых гаджетов, но ценник у всех был разный и у большинства явно завышенный. Переплачивать за бренд мне изначально не хотелось. По такому-же принципу выбирался мой предыдущий Fly который верой и правдой отслужил почти пять лет без единой поломки. В своих поисках и консультациях менеджеров мне наиболее всего понравилась модель Fly FS509 которая по к моим требованиям подходила больше всего. Сразу приобрела карточку MicroSD которая расширила память телефона на 16 Гб. 4-ядерный процессор с лёгкостью справлялся с большинством загруженных мной игр и мне стало гораздо интереснее коротать время в транспорте из дома на работу и обратно. Вообще своим приобретением я осталась очень довольна. Уже научилась делать хорошие фото, которые обрабатываю в фоторедакторе и после чего фотографии становятся ярче и сочнее. Вообще считаю, что для меня при таком бюджете модель телефона Fly FS509 это наилучший вариант.,",Позитивный,Оценка качества и характеристик телефона
"Я ошибся с покупкой и не хочу, чтобы вы прочувствовали этот ужас на себе.,",Отрицательный,Ошибки покупки
"я пользуюсь в основном, телефонной связью, поэтому накрученный смартфон за большие деньги мне ни к чему. Из программ установил установил Viber, Яндекс.карты, несколько игрушек, чтобы не скучать при длительных поездках. Аудиокниги слушаю с помощью этого смартфона. Конечно, 3G выглядит несколько устаревшим, но для моих нужд скорости хватает. Сын на смартфоне даже фильмы смотрит, когда у него трафик кончается. В общем, Fly FS509 Nimbus 9 вполне адекватный смартфон за свою цену. И уронить его не страшно, в конце концов три тысячи - не слишком большая потеря. Хороший выбор для экономного человека, который знает цену деньгам.,",Позитивный,Оценка смартфона
"Свой телефон я уронила и разбила экран. Пока он был в ремонте, решила взять на это время бюджетную замену. Продавец в магазине посоветовал Fly FS509 Nimbus 9. В целом телефон оказался, довольно не плохой. И я не пожалела о своем выборе! Из достоинств-это наличие 8 ГБ внутренней памяти, 2- Sim карт, большой красочный экран, телефон хорошо и удобно держать в руке. Шустрый сенсор,для интернета и игр-просто идеален. Из недостатков-это все таки камера 5 Мпикс+0,3 фронтальная. Хотелось бы, чтобы фотографии были более четкого изображения. Зарядку держит нормально, если в интернете, сидеть, батарейка разряжается немного быстрее.,",Позитивный,Оценка характеристик телефона
"Три месяца назад подарил такой смартфончик сыну в качестве первого телефона. Неожиданно порадовала батарея, снимали и смотрели видео продолжительностью около 4-х часов и осталось еще 25% зарядки. Телефон нравится, довольно шустрый, один раз сын его выронил из рюкзака - без последствий. Выглядит заметно дороже своей цены. 5-дюймовый экран, на мой взгляд, здесь уместен, меньше будут уставать глаза. Хотелось бы, конечно, и 4G, и сканер отпечатков, но это уже совсем другие деньги).,",Позитивный,Опыт эксплуатации и характеристики смартфона
"Без этого телефона, как без рук. Реально отлично работает. Другого и не надо. Все дело в привычке к конкретному аппарату. За 2 года поменял на такой же аппарат. 3-е соседей тоже купили такие же - не нарадуются. В автомобиле отвечаю по громкой связи, не нужно прикладывать к уху.  Кто-то писал здесь, что микрофон сломался. Так в моем случае вылечился паяльником. Один проводок припаял и продолжаю радоваться.  Добавил: Сменил уже 4-й аппарат на такой же. Купил с рук на всякий случай 5-ый, т.к. в свободной продаже уже нет. А жаль! Прекрасная, удобная модель телефона!  25.02.2017 Все великолепно! Сменил экран со старого телефона. Остальное работает на отлично! Вот оно СЧАСТЬЕ!!! 25.06.2017 Самый лучший телефон! Привносит ежедневную радость!,",Позитивный,Опыт использования и удовлетворенность телефоном
"ВАЖНОЕ!!! Если при просмотре ТВ преобладают голубые оттенки (синие лица) - в настройках ТВ смените регион ""Россия"" на какой-нибудь другой. Лично мне подошли Венгрия, Польша, Румыния. Экран заиграл яркими и естественными красками. Только проверьте, совпадёт ли выбранная Вами настройка со всем МВ/ДМВ диапазоном, где работают телеканалы вашей местности! При использовании телефона в основном как ""звонилки"" батарея держит 3-4 дня, но если изредка смотреть ТВ или читать книжки, то аккумулятор явно не ""огонь"". Телефон не следует покупать, если Вы привыкли нажимать на кнопки всей подушечкой пальца. Но если Вы пользуетесь кончиками ногтей, не желаете таскать в кармане тяжёлый смартфон-лопатник и просто не хотите зря тратить деньги - присмотритесь. Это неплохой сотовый за цену менее 2000 р. Если изредка нужен интернет, установите с встроенного браузера Оперу 3.2 (не поддерживает загрузок) или лучше UC Browser версии 7. Вполне достаточно...,",Нейтральный,Настройки устройства и характеристики
"Отвратительный телефон, он не стоит потраченных денег!,",Отрицательная,Качество
"В общем и целом телефоном я вполне доволен. Пока не догоню как редактируются ранее занесенные контакты телефонной книги, думаю это дело времени.,",Позитивный,Функциональность телефона
"Производителю надо поработать с меню, достойный внешний вид и плохая проработка меню.,",Отрицательный,Меню продукта
"В принципе если учитывать только телефонные функции и его цену, то тело отличное. Ну а если все допы, то они конечно слабоваты. Покупкой всеравно доволен, батарейка огонь с учетом разговоров и телевизора.,",Позитивный,Телефон
"Хороший телефон для разговоров. Ловит в Москве 17станций ТВ из них 4-5 прилично вне дома лучше. Диктофон пишет в РСМ 8КГцх16Бт, радио 16 и 8КГцх4Бт, ТВ 320х240, а пишет 240х180 РСМ 8КГцх16Бт и всё моно http://video.yandex.ru/users/soleg250/view/28/ . Про фото и видео, они не хуже чем в других телефонах http://video.yandex.ru/users/soleg250/view/26/# в Был бы разъём 3.5 и радио работало бы от встроенной антенны, поставил бы 5 звёзд, ставлю 4 хотя лично мне он очень нравится.,",Позитивный,Качество
"Отличный телефон за 1500р- всё есть в нём,даже телевизор.Мне очень понравился,флай сейчас хорошо и качественно делает.У меня есть флай 105с,который работает полтора года - тоже им доволен,но этот ещё лучше.,",Позитивный,Оценка качества телефона
"Телефон впринципе хороший,",Нейтральный,Оценка качества телефона
"это был первый мой флай и думаю последний. разочарование моментально наступило и даже цена не компенсировала.,",Отрицательный,Опыт поездки/флай
"За гарантийный год ломался 3 раза. 1 раз вышел из строя микрофон и перестала работать гарнитура (проводная). 2 раз при падении с высоты около 1 метра отвалился разъем аккумуляторной батареи. 3 раз перестал заряжаться и отвалился usb разъем. Не рекомендую для покупки.,",Отрицательный,Качество
"в общем нормальный дешевый телефон, для того, чтоб только звонить,",Нейтральный,Функциональность
"неплохой девайс для людей которым ТУПО надо звонить и не более того!!!!!!,",Отрицательный,Назначение устройства
"Я бы на другой, пусть навороченный, не поменял.,",Позитивный,Оценка продукта
"Почему-то не отражается надпись о подключении наушников,и радио соответственно тоже в них не играет,а из плеера музыка воспроизводится в наушниках.Буду мастеру в гарантийку отдавать.,",Отрицательный,Функциональность устройства
"вполне нормальный телефон, соответствует соотношению цена/качество, взял за 1500 руб. про ТВ не писал, т.к. мне это не очень интересная оптиция, при этом прием более-менее,",Нейтральный,Цена-качество телефона
"Хороший телефон. За бренд не переплачиваешь (купил за 1790 руб) и очень доволен.,",Позитивный,Цена-качество
"Корпус слабый. Ощущается шевеления сдвиги и скрипы. Чувствительность приёма вроде нормальная. При смене батареи часы и дата сбиваются через 1-3 мин. Батарея в теле фиксируется не очень хорошо при переворачивании выпадает. Тормознутый, отбой вызова поначалу 2-3 раза нажимал чтоб прекратить разговор. Когда телефон заблокирован при нажатии на клавишу отмены вызова на мониторе включаются только стрелочные часы на черном фоне. Как по мне более привычны цифровые, или нужна возможность переключения. Многим бы хотелось чтоб дата время были видны постоянно. В телефоне память на 500 номеров с дополнительными ячейками в них. Контакты с сим карт и телефона можно экспортировать на карту памяти в формате csv и vcf, а так-же на другие сим карты. Так что проблема сохранения контактов решена отлично, даже лучше чем на тачфонах. О покупке не сожалею. Самый крупный недостаток на мой взгляд то что приёмник без наушников не работает (антена же есть), а их надо таскать с собой чтоб послушать радио, верх ""дебилизма"". Мало ячеек памяти для входящих, исходящих, пропущеных звонков по 20 шт. Аудиоплеер некоторые песни с небольшим битрейдом как бы тянет и слышен эфект похожий на ревебрацию. На некоторых МИДифайлах слышны постороние шорохи мешающие прослушиванию. Так-что проигрыватель здесь видимо, мягко говоря не очень хорошего качества, для меломанов неподойдёт. При запуске одного музыкального файла из папки, аудиоплеер не поддерживает играть следующие файлы из этой же папки. Аудиоплеер при включении каждый раз ищет всю музыку, всегда по умалчиванию сортирует по длительности мелодии, непозволяет играть музыку по папкам, а только по плей-листам, интересно кто-же решил что это удобно. Почему плеер не может запомнить мои настройки что нужно сортировать по имени. Особо следует сказать о особенном калькуляторе, полторамиллиметровые цифры и на всём остальном мониторе рисунок джойстика. Новые прошивки от производителя думаю что как всегда ждать бесполезно.,",Отрицательный,Функциональные недостатки устройства
"отличная звонилка. хорошо слышно собеседника и вас собеседнику.черный список видимо расчитан на ""отрезал так отрезал""-обратно контакт не вынешь оттуда. замечательно пишутся разговоры. вполне сносно ловит и показывает тв,",Нейтральный,Функциональность и удобство
"Ща выбираю себе в место него другой. Нужен как второй тел и тупо звонилка с какими нить примочечками за недорого. Наверное возьму его же. :-),",Нейтральный,Выбор устройства
"Как его вообще делали?,",Отрицательный,Качество
"Телефон был куплен отцу. В семье у нас у всех флаи. Про качество скажу что ничем не хуже других моделей. У мамы fly mp600 в одном из видео на ютубе подросток руками разломал этот телефон, но у мамы такой же хрупкий телефон работает больше 5 лет из недостатков только плохо нажимается одна кнопка, а так телефон полностью функционирует. Про TS105 могу сказать, что телефон больше подойдёт бизнесмену, которому телефон нужен только для звонков и не более, а в перерыве на обед можно будет посмотреть телевизор, качество конечно плохое особенно в помещении, но это телефон fly, а не телевизор sony.,",Нейтральный,Оценка качества телефона
"отличный телефон, нарадоваться не могу, отлично собран, ,поет хорошо, связь отличная, ловит хорошо. После пользования андроидами решил купить простенький телефон, выбирал выбирал думал купить expley pover- да орет, но все хрипит, по ощущениям как дешевка, и все номера через +7 надо писать. а в этом все норм, меню лучше, экран четче, звук. Не понимаю зачем в этот телефон воткнули тюнер, вообще ума не приложу, на таком экране смотреть ТВ, (и то, только рядом с телевышкой), да камеру воткнули такую, которая снимает в пол экрана в котором ничего не видать, тоже понять не могу, лучше ее бы не было,а вместо нее воткнули бы фонарик, и вместо антены разъем 3.5 мм. не было бы цены этому телефону. А так телефон отличный на 5 с +, да за такую цену. рекомендую.,",Позитивный,Оценка качества телефона
"В игрушки не играю, для иннета есть ноутбук и стационарка. Да, очень недоволен заявленными техническими характеристиками - нет ТВ-выхода,нет перечисления используемых кодеков для воспроизведения .avi. Всем остальным я доволен, телефон работает на отлично.,",Отрицательный,Технические характеристики телефона
"За такие деньги телефон отличный, пользовался два года и за это время ни разу не подвел, не отключился, не завис, аккумулятор держит отлично, заряжаю раза 2-4 в месяц не больше.,",Позитивный,Опыт эксплуатации телефона
"хороший телефон на три симки с телевизором за копейки.,",Позитивный,Цена-качество
"Кто-то тут писал, что якобы из черного списка нельзя контакт убрать - врут безбожно ))) Нажимаешь ""опции"" и переносишь в другую группу. Слышимость собеседника очень низкая по умолчанию, но лечится так: во время разговора надо джойстиком нажать ""вправо"" и установить нужную громкость. ..... Я вообще не знала, что тут есть телевизор, т.к. купила телефон мимоходом на Савеловском рынке, за 1150 руб. (новый). Очень понравилась данная фишка ))) Про удобство трех симок даже и говорить не буду, и так понятно. Сначала мне не нравилось, что настройки звука и проч. устанавливаются на каждую симку отдельно, но потом оценила данную особенность по достоинству (оказалось очень удобно). И в профилях тоже можно настроить отдельно всё. Например, я на время сна ставлю на профиль ""Совещание"", в котором на одной симке установила беззвучный режим, а две другие поют. Очень удобно, когда контакты разделены по номерам (например, рабочие, личные и т.д.). Такой своеобразный фильтр для звонящих получается по критерию важности. Ну и конечно, ""черный список"". В моем Сони Эриксоне такой штуки нет, поэтому приходится отстегивать Мегафону по 1 руб. в день ))) А Билайн еще больше берет за такую услугу. А тут красота, при этом телефон еще отображает вызов: что человек звонил, но вызов был отклонен, а также когда и сколько раз. В общем, теперь у меня вместо 4-х мобил две ))) В сумке больше места ))) За такие деньги это просто находка. Очень довольна телефончиком. Смартфонами я наигралась, теперь хочется просто обычную ""рабочую лошадку"", которая была бы просто функциональная и приятная. Всем советую.,",Позитивный,Отзывы о функциях телефона
"Если вам только для звонков (как и мне) и вы терпеливый человек - берите. Если же к вам не подходит ни первое, ни второе - сторонитесь этой модели и вообще этой фирмы.,",Отрицательный,Рекомендация к покупке
"В остальном же очень простой но очень удобный тлф. Экран на половине яркости отлично читаем на солнце. Батарея достаточно долго живет. Связь ловит отлично ( работаю за городом )там, где NOKIям и LыGам никак. Фото так себе, формально. Остальное ( тв, интернет, радио...) не интересует. Более менее под себя настроить тлф. можно.   Недостатки терпимы)) Отличная 3-х симочная звонилка за эту цену.,",Позитивный,Функциональные характеристики телефона
"Посредственная фотокамера. Как телефон, вполне можно использовать.,",Нейтральный,Качество камеры
"Срочно покупал на замену еще одному гиганту китайского прома (Prestigio, читай мой коммент о нем),хотя может здесь и звучит ирония,но не могу удержаться от колкости. Должен сказать,имею другие продукты Xiaomi -беда у них общая -софт,при оч не плохих комплектующих,материалах и технологиях.Касательно предмета: хороший пластик не сразу поймешь,уж не аллюминий в нем. Через неделю-в районе нагрева появился характерный хруст при нажатии.Хотя ни цапок, люфтов, потертостей нет ни на стекле ни на корпусе.Сразу заметил плохую работу p-sensora. То и дело вкл/выкл экран, вечно щекою нажимаешь кнопки.Думал не привык-оказалось задокументированная проблема,сейчас все еще хуже-вечно вылазит шторка вдобавок. Через 2 месяца начались проблемы с моб.инетом. При сигнале -75 - 85 дб то и дело теряет инет(билайн).Производительность в целом меня устраивает.Главный недостаток-это оболочка.По мне она на китайский менталитет. Все не организовано,запрятано,напичканно кучей ненужного хлама-главным из которых является ""Безопасность"",пожирающее батарею и напичканное кучей рекламных модулей.Говорят,здесь камера хорошая-по мне обычная на монике 24"" ничего хорошего не видно.Зато присутсвуют проблемы со звуком в видео.Работа с картой СД -адская. 100мб можно переносить минуты 4-е. (карта 10-о класса, на ПК проблем нет)При этом счетчик простаивает на 0,потом пару секунд перенос по 10-20 мб.Вообщем,срочно нужен был тел-все в восторге от Xiaomi,но для меня это 1-й и последний. Прошивки выходят регулярно,на подходе MIUI 10, но сам принцип мне не подходит-ребус-головоломка, болеющее сырым ПО,что приводит к неполадкам и косяками в области железа,довольно не интересная для меня интрига. Быть тестером китайского мобпрома за свои деньги я не хочу.,",Отрицательный,Оценка качества устройства
"Менял телефон жене, был редми 3С, отличный аппарат. Но захотелось что-то новое, Форм фактор 18:9 ей не понравился и вес телефонов выше. Этот же хоть и с диаганалью большей подошел. Плюс 4 гига оперативки, и 64 встроенной очень порадовали. Так можно раз в год менять их:) XIAOMI имел ввиду.,",Позитивный,Оценка качества телефона
"Остается просто верить в заявленные производителем параметры. Мой точно не ""левый"", покупала в сетевом магазине . Наличие гарантии проверяла по серийному номеру на горячей линии mi.,",Нейтральный,Гарантия и качество
"Отличный аппарат. Все четко. Сравнивал с Самсунгом S7, не в пользу корейцев. Ну это на мой вкус. В офисе лежит уже года полтора аппарат предыдущего поколения, гораздо проще, но никаких претензий к нему вообще нет. Доволен.,",Позитивный,Сравнение моделей смартфонов
"Отвратительный телефон,",json_error,json_error
"Неплохой аппарат, но всё же очень большой.,",Нейтральный,Размер устройства
"Да кстати второй мой телефон яблоко под 7 номером ! Поэтому кто пишет что вот там это не так работает и ещё что то ! То советую увеличить бюджет если вы слишком взыскательны к телефону за эти огромные деньги .,",Отрицательный,Опыт использования телефона
"В целом доволен!Пишут что мало станций ловит и диапозон малый,наушники вместо антенны-более десятка станций!,",Нейтральный,Технические характеристики устройства
"а так телефончик очень даже хороший. правда дергаюсь постоянно, когда он звонит, и окружающие тоже,",Нейтральный,Комфорт и раздражительность
"Выбирал понадежнее и возможно (уже не помню), мне нужно было 2 симки использовать (а он трехсимочный). По надежности попадались кнопочники (с одной симкой) и гораздо дольше проработавшие, чем этот, причем миниатюрные и с хорошей памятью для хранения смс (у меня Мегафоновский аппарат есть, которым пользовался еще мой Дедушка.,",Отрицательный,Функциональность и надежность устройства
"Тщательно проверяйте китай-телефоны...,",Отрицательный,Качество китайских телефонов
"Как звонилку рекомендую за такие деньги да и подороже это отличный выбор,из кнопочных и выбирать больше нечего.,",Позитивный,Выбор телефона
"Телефон - чисто Китайская звонилка, честно сказать только одни минусы Покупать не советую,",Отрицательная,Качество
"Как второй телефон отличный, и от него можно зарядить смартфон.,",Позитивный,Функциональность и удобство
"Когда первый раз взял в руки шок))как я это буду носить??им же карман порвать можно))Звук убавил до 6 иначе бужу соседей и они стучат по батарее))а так телефон прикольный!,",Нейтральный,Практичность и качество
"Неуслышать звонок нереально,",Позитивный,Звуковые характеристики
"Настоящая полновесная телефонная трубка. В руке ощущается приятно. Пользуюсь небольшое кол-во времени. Со временем отзыв дополню.,",Позитивный,Ощущения от использования
"В целом все достоинства и недостатки представил выше. Телефон использую немногим больше месяца с двумя сим-картами. Самый главный недостаток - бракованный аккумулятор. После заряда до 100% (заряжается около трёх-четырёх часов) в течение двух-трёх часов заряд падает до 88-92% даже тогда, когда с телефона не было сделано ни одного звонка. Дальше аккумулятор ведет себя более-менее нормально, но при разговорах разряжается довольно быстро. Звоню и принимаю звонки нечасто (1..3 звонка в день). В первый цикл полного заряда хватило на 21 день, во второй - на 14. Посмотрим, что будет в третьем. С настройками в меню разобрался довольно быстро. При блокировке/разблокировке клавиатуры телефон издает хоть и негромкий, но неприятный хлюпающий звук, который в настройках отменить нельзя. Серьезный недостаток - принципиальная невозможность набрать с клавиатуры символ ""+"" при записи в память нового номера. Как в таких условиях запоминать номера международных операторов - для меня ""тайна сия велика есть"". Камеру в недостатках отметил потому, что с подобным качеством (0,3 Мпикс) это абсолютно бессмысленный и ненужный аксессуар.,",Отрицательный,Недостатки телефона
"Эксплуатирую более двух лет и уже знаю о нём ВСЁ. Радует только одно - громкий динамик, позволяющий слушать музыку, закаченную в карту памяти. Хорошо держит удары - это тоже один из плюсов. Неубиваемый по-своему, как НОКИЯ 3310. Но я больше никогда не буду покупать телефоны этой фирмы.,",Нейтральный/негативный,Качество и впечатления от эксплуатации
"Взял в качестве второго телефона для отпуска, поездок за город. За такие деньги - это просто подарок. Подкупает своим видом, звучанием и ценой. Надоело ходить с тонкими пластинками и отскребать их от стола))). Хочется что-то «подержать в руке»))). Понравится не всем - смотрите сами.,",Позитивный,Оценка устройства
"в целом аппаратом доволен,",Позитивный,Аппарат
"В итоге : телефон оправдал (по моему мнению) свою цену. А живучая батарейка (после нескольких циклов) радует - на работе бегаю по складам с включённым в кармане радио и не беспокоюсь о заряде. Если нужен для работы телефон и у вас не маленькие ладошки, присмотритесь к Р-11.,",Позитивный,Телефон
"В общем достойный вариант! Но скорее мужской,",Позитивный,Половой ориентир продукта
"очень громкий звонок - для слабослышащих,",Нейтральный,Функциональность
"В целом хороший аппарат,",Позитивный,Общая оценка аппарата
"После падения затрещал динамик,отвалились защелки крышки.Пожалел что взял,",Отрицательный,Качество
"Заказал себе второй, такой же. Пришел. Сам исправный, но с нерабочим аккомулятором. (проверил, переставив аккомулятор со старого. Со старым телефон заработал.) Теперь проблема - надо исправный аккомулятор искать.,",Отрицательный,Качество товара
